,2014,2015,2016,2017,2018,2019,2020,2021,2022
key signature,1.1412524,2.0073304,1.5718088,-0.0073649883,0.45224047,1.1156058,0.8615532,1.2118942,1.0318015
content metadata content,1.0149797,1.0892297,2.4412715,2.2908778,1.6352893,2.321383,1.5434486,1.3860968,1.2047929
cargo power source,2.2228122,2.2630296,2.6317692,1.1890336,2.123449,0.4360342,-0.5849099,0.26118517,0.79032886
image feature,1.971225,1.213408,2.5350082,0.62248635,1.425595,0.20975709,1.495563,1.9467645,2.2274086
currency currency transfer,2.6093292,0.99124455,-0.049783707,0.099858046,2.233338,0.8043251,1.0031638,1.3014297,0.86485267
service request service,2.0872064,0.74744,0.9999758,0.55175173,1.5987904,1.8167902,1.2158808,1.7026485,1.3914691
entity record,0.64352953,0.045421124,1.1974982,2.3294973,2.3411741,0.30279112,0.92992294,1.5111767,1.2899064
surface destination location,2.1313574,1.7904572,2.0361235,2.2427597,1.0173228,2.4441242,0.8305774,2.150632,0.5609026
communication interface,1.2545838,0.37806296,1.1734734,0.76616883,0.2850883,1.962749,1.544345,1.0311596,1.3294232
node consensus,2.2835505,1.0006089,0.040201664,1.1670234,1.3984063,2.3709152,1.763524,1.4199262,1.9955909
embodiments andor,0.18908608,-0.32402837,0.7285871,-0.7563137,1.5022734,1.3428771,0.20902526,0.90935475,0.85636073
storage apparatus computer,2.1515129,0.7628522,2.0867705,-0.63680935,-1.3899164,-0.009836912,0.68461585,-0.123809814,1.1105428
